Company Name,Company Name2,Status,License,Type,License Number,Email,Phone,DBA,Adress
"Software and Technology, Advertising / Publication, Marketing / PR, Manufacturing Goods, Cannabis Manufacturer, Hemp Manufacturer, Cannabis Brand, Packaging and Labels",CLose To Midnight,Hemp,,,,,,,
"Advertising / Publication, Marketing / PR, Education & Training, Sales Management Services, Packaging and Labels, Hemp Brand, Cannabis Brand, Hemp Distributor, Cannabis Retailer (Online), Hemp Retailer (Online), Staffing and Recruiting, Software and Technology, Social Networks",RizeWize Growth Agency,Pending,,,,,,,
"Advertising / Publication, Business Analytics, Consulting, Education & Training, Facility Supplies & Machinery, Marketing / PR, Software and Technology, Staffing and Recruiting, Seed Banks / Genetics, Finance / Loans, Banking / Payment Processing, Land / Real Estate, Tourism & Travel, Trade Associations",STONED DAILY LLC,Hemp,,,,,,,
"0837004, 837004",Pitre’s Cannabis,Hemp,,,,,,,
Gil Ventures,"Gil Ventures, LLC.",Pending,,,,sales@GILVENTURESLLC.COM,3362681104,,"8350 NW Ter 301Miami, FL 33166"
Hemp,"Advertising / Publication, Hemp Distributor, Hemp Retailer (Storefront), Hemp Retailer (Online)",Pending,,,,,,,
off the wall glass,Pending,Pending,,,,,,,
51-6111906,Tennessee Rob,Pending,,,,,,,
MarijuanaCaterers.com,Pending,Pending,,,,,,,
Manufacturer,"Advertising / Publication, Cannabis Brand, Cannabis Distributor, Cannabis Manufacturer, Cannabis Cultivator, Hemp Distributor, Hemp Brand, Hemp Manufacturer, Security Services & Transportation, Marketing / PR, Hemp Retailer (Online)",Pending,,,,,,,
JOHNNY FARMS,JOHNNY FARMS LLC,Hemp,,,,JOHNNYNELSON59@GMAIL.COM,5092899351,,"5045 Adams Rd NQuincy, WA 98848"
"Cultivator,","Advertising / Publication, Cannabis Brand, Cannabis Cultivator, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Retailer (Online), Cannabis Retailer (Storefront), Hemp Cultivator, Hemp Distributor, Hemp Manufacturer, Hemp Retailer (Online), Hemp Retailer (Delivery)",Hemp,,,,,,,
"Advertising / Publication, Hemp Brand, Marketing / PR, Hemp Distributor",Kumbha wellness,Hemp,,,,kumbhawellness@gmail.com,2134005004,,"1881 Baywood Dr, Unit 205Corona, CA 92881"
"Advertising / Publication, Hemp Brand, Marketing / PR, Hemp Retailer (Online), Hemp Distributor",Tranqwl,Hemp,,,,,,,
Sweetleaf,MCZ Consulting llc,Pending,,,,,,,
FLORA VALLEY FARMS,Hemp,Ancillary,,,,,,,
Cannabis,weed supplier,Hemp,,,,,,,
Hugemarijuana.com,Panorama Press LLC,Ancillary,,,,,,,
The Beauty Cave,"Michelle Mitchell Publishing, Inc",Hemp,,,,,,,
Witan,WITAN INVESTMENT TRUST PLC,Pending,,,,,,,
"471409,",Greenguard,Ancillary,,,,,,,
"Education & Training, Consulting, Manufacturing Goods",Green Paradigm LLC,Hemp,,,,theextractory@gmail.com,7346264764,,"4601 Nancy StHamtramck, MI 48212"
"Education & Training, Facility Supplies & Machinery, Manufacturing Goods, Cannabis Manufacturer, Hemp Manufacturer",Hive Minds,Pending,,,,,,,
GGM UK Ltd,Hemp,Hemp,,,,,,,
Hempos,Pending,Ancillary,,,,,,,
"Consulting, Education & Training, Packaging and Labels, Cultivation Goods",IsoCann Labs,Pending,,,,,,,
"Consulting, Accounting, Business Analytics, Banking / Payment Processing, Hemp Distributor",Best Bud,Hemp,,,,,,,
"Consulting, Legal, Land / Real Estate, Trade Associations, Tourism & Travel, Insurance, Testing Laboratories, Staffing and Recruiting, Hemp Retailer (Online), Hemp Retailer (Storefront), Cannabis Retailer (Storefront), Software and Technology, Cannabis Retailer (Online), Social Networks, Cannabis Retailer (Delivery), Hemp Manufacturer, Cannabis Manufacturer, Seed Banks / Genetics, Hemp Retailer (Delivery), Security Services & Transportation, Hemp Distributor, Cannabis Distributor, Cannabis Cultivator, Hemp Cultivator, Hemp Brand, Sales Management Services, Cannabis Brand, Business Analytics, Broker Dealers, Banking / Payment Processing, Advertising / Publication, Accounting, Cultivation Goods, Education & Training, Events and Conferences, Facility Supplies & Machinery, Finance / Loans, Glassware, Packaging and Labels, Medical Professionals, Marketing / PR, Manufacturing Goods",CBD Hispania,Hemp,,,,,,,
"Marina Associates International, LLC",Hemp,Hemp,,,,,,,
China Hemp Association,Hemp,Pending,,,,,,,
"Consulting, Cultivation Goods, Hemp Distributor, Facility Supplies & Machinery",Humboldtathena,Hemp,,,,fredngingerrodgers@gmail.com,"bkemper78@aol.com, brandon@ktservicesky.com502-514-1164 || 4792232182",,"HTO KentuckyOwenton, KY 40359 || 12220 S DstFort Smith, AR 72901"
Guerrilla Consulting,Guerrilla Consulting LLC,Hemp,,,,mike@bmpropertiesinc.com,3124836046,,"67 E Madison StreetChicago, IL 60602"
Good Fortune Flowers,Wilder Lifestyle LLC,Hemp,,,,,,,
Temple,Temple Farms,Hemp,,,,,,,
40-190015G,3 family farms,Pending,,,,tbapremier@gmail.com,5597409730,,"22895 S Dickensen AveRiverdale, CA 93656"
"Consulting, Hemp Manufacturer, Business Analytics, Education & Training, Hemp Distributor, Hemp Cultivator, Hemp Brand",Atlantic Coast Hemp,Hemp,,,,,,,
"Consulting, Hemp Cultivator, Hemp Brand, Hemp Manufacturer, Hemp Distributor",not a user,Hemp,,,,,,,
APOLLO FARMS LLC,Hemp,Hemp,,,,,,,
260,5150 Relocation Inc.,Hemp,,,,importb18@gmail.com,4438729910,,"11725B Hamilton placeWhite Marsh, MD 21162"
"Security Services & Transportation, Sales Management Services, Packaging and Labels, Business Analytics, Hemp Distributor, Trade Associations, Cannabis Cultivator, Cannabis Brand, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Retailer (Online), Cannabis Retailer (Storefront), Consulting, Cultivation Goods, Tourism & Travel, Staffing and Recruiting, Social Networks, Manufacturing Goods, Education & Training, Facility Supplies & Machinery, Events and Conferences, Glassware, Hemp Brand, Hemp Cultivator, Hemp Manufacturer, Hemp Retailer (Delivery), Hemp Retailer (Online), Hemp Retailer (Storefront)",iSpeak Hemp,Pending,,,,,,,
"Business Analytics, Consulting, Finance / Loans, Education & Training, Hemp Cultivator, Hemp Brand, Hemp Manufacturer, Hemp Retailer (Delivery), Hemp Retailer (Online), Land / Real Estate, Manufacturing Goods, Packaging and Labels, Sales Management Services, Staffing and Recruiting, Social Networks, Trade Associations, Advertising / Publication, Banking / Payment Processing, Cannabis Cultivator, Cannabis Brand, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Retailer (Online), Cannabis Retailer (Storefront), Cultivation Goods, Facility Supplies & Machinery",Logical Green Solutions,Hemp,,,,mmfuchs@logicalgreensolutions.com,2625471111,,"237 Harrison AvenueWaukesha, WI 53186"
Lucky Charm,Lucky Charm Productions Ltd,Pending,,,,mikeprojects@huggity.com,0857596971,,"Bay view 2Bettystown, MH A92 E9CE"
Fiani Opportunities,Pending,Hemp,,,,,,,
"Broker Dealers, Business Analytics, Cannabis Brand, Cannabis Cultivator, Cannabis Distributor, Cannabis Retailer (Delivery), Cannabis Retailer (Storefront), Cultivation Goods, Consulting, Education & Training, Events and Conferences, Finance / Loans, Banking / Payment Processing, Advertising / Publication, Accounting, Hemp Brand, Hemp Cultivator, Hemp Distributor, Hemp Manufacturer, Hemp Retailer (Delivery), Cannabis Manufacturer, Cannabis Retailer (Online), Hemp Retailer (Online), Hemp Retailer (Storefront), Legal, Manufacturing Goods, Packaging and Labels, Medical Professionals, Sales Management Services, Security Services & Transportation, Seed Banks / Genetics, Staffing and Recruiting, Software and Technology, Social Networks, Testing Laboratories, Trade Associations, Tourism & Travel",2401023469,Verified,,,,,,,
green dandelion,Hemp,Hemp,,,,,,,
Verified,", Manufacturer",Hemp,,,,,,,
Almanac Ag,JJCT LLC,Hemp,,,,jack@almanacag.com,541-301-9063,,"3020 Coleman Creek RdMedford, OR 97501"
"Broker Dealers, Cultivation Goods, Hemp Brand, Hemp Cultivator, Hemp Distributor, Hemp Manufacturer, Hemp Retailer (Online)","AG-R1069966IHH, AG-R1070154HGS",Pending,,,,,,,
"Broker Dealers, Hemp Distributor, Hemp Retailer (Storefront), Hemp Cultivator",Environmental Sustainable Services,Verified,,,,,,,
Persepolis Brands,Verified,Pending,,,,,,,
"Broker Dealers, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Consulting, Hemp Retailer (Delivery), Hemp Distributor, Medical Professionals, Marketing / PR, Sales Management Services, Social Networks",C11-0001108-LIC,Pending,,,,,,,
Buy Marijuana Weed Online Store,Pending,Pending,,,,,,,
"Broker Dealers, Cannabis Brand, Hemp Distributor, Facility Supplies & Machinery, Packaging and Labels, Security Services & Transportation, Cannabis Distributor, Cannabis Retailer (Storefront), Cannabis Retailer (Delivery), Events and Conferences",TurnKey Gardens,Pending,,,,,,,
Iridium Consulting,"Iridium Enterprises, LLC",Pending,,,,aaron@iridium.consulting,4243678081,,"1433 Brett Pl Apt A-201Los Angeles, CA 90732"
T9,Lost coast Enterprise 2,Pending,,,,wadegram61@gmail.com,7072296190,,"306 Hennessey RdBurnt Ranch, CA 95527"
"Broker Dealers, Cannabis Cultivator, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Retailer (Online), Consulting, Cultivation Goods, Hemp Distributor, Education & Training, Glassware, Land / Real Estate, Manufacturing Goods, Packaging and Labels, Sales Management Services, Security Services & Transportation, Seed Banks / Genetics, Trade Associations",T9,Pending,,,,,,,
"Cannabis Retailer (Storefront), Glassware, Hemp Retailer (Storefront)",Edward’s Smoke Shop,Hemp,,,,,,,
STRAWBERRY FIELDS,Hemp,Hemp,,,,,,,
EXCLUSIVE,Hemp,Ancillary,,,,,,,
"842240, 23",Pure Hemp Supply,Ancillary,,,,,,,
"Packaging and Labels, Manufacturing Goods, Facility Supplies & Machinery, Cultivation Goods",SBX Farms LLC,Hemp,,,,,,,
"29_P00171, DSIH19-228",H&H Hemp Co.,Hemp,,,,handhhempco@yahoo.com,(513) 708-2511,,"13864 US-412Senath, MO 63876"
"29_R00090, 29_P00144, 39-1177P",Willow Run Farms,Hemp,,,,,,,
"29_R00093, 29_P00243","Wellspring Growers, LLC",Hemp,,,,,,,
Manufacturing Goods,Facility Supplies & Machinery,Hemp,,,,,,,
Selected: 0,Out of Network: 3670,Hemp,,,,,,,
Page 2 of 37,StoneAge Hemp,Hemp,,,,,,,
"29_R00323, 29_P00320","S & S Seed, LLC",Hemp,,,,,,,
"29_R00026, 29_P00027",Simple Man Farms,Hemp,,,,,,,
"29_P00089, 29_R00088",Show Me Hemp Seed,Hemp,,,,,,,
"29_R00195, 29_P00170",Sacred Seeds Hemp Farm,Hemp,,,,,,,
"29_R00011, 29_P00010",Renegade Research,Hemp,,,,,,,
"29_R00281, 29_P00282, 29_R00199, 29_P00200",Red Bird Ranch,Hemp,,,,,,,
"29_P00036, 29_R00076",Quesnel Cloning LLC,Hemp,,,,,,,
"29_P00129, 29_R00128",Natures Organic Haven,Hemp,,,,,,,
"29_R00058, 29_P00059",Natural Solutions Hemp Co,Hemp,,,,,,,
"29_R00375, 29_R00374, 29_R00376, 29_R00390, 29_P00017, 29_R00373, 29_R00377",MW Biotics Inc,Hemp,,,,,,,
"29_P00302, 29_R00019",Mussel Fork Flowers,Hemp,,,,,,,
"29_R00031, 29_P00030","Missouri Hemp Holding, LLC",Hemp,,,,,,,
"29_R00173, 29_P00187",Missouri CBD LLC,Hemp,,,,,,,
"29_R00055, 29_P00056",Mill Creek Organic Farms,Hemp,,,,,,,
"29_P00147, 29_R00146",Little Farm Organics LLC,Hemp,,,,george@lincolnreserve.com || damienlittle79@gmail.com,513-266-2548 || 6606543479,,"Lincoln Reserve HoldingsLouisville, KY || 311 SE Daisy LnTrenton, MO 64683"
"29_R00047, 29_P00046",Lift Brands,Hemp,,,,lifthemp@gmail.com,(816) 588-0395,,"3405 Kensington AveKCMO, MO 64128"
"29_P00150, 29_R00149",Kansas City Concentrates,Hemp,,,,shipsh@yahoo.com,(816) 786-5661,,"440 NE Martin BlvdKCMO, MO 64118"
"29_P00066, 29_R00065",Kannavox Inc.,Hemp,,,,chris@kannavox.com,5732933010,,"KANBOL, INC.KY || 601 S Walnut St, Ste. BBernie, MO 63822"
"29_R00235, 29_P00236",Juniors Farms,Hemp,,,,r2@juniorfarms.com,8167560016,,"3306 Gillham RdKCMO, MO 64109"
"29_R00206, 29_P00207",Joe L Farms LLC,Hemp,,,,,,,
"29_P00162, 29_R00161",JFT Partners,Hemp,,,,fmannino51@gmail.com,8165820718,,"28804 Walker RdHarrisonville, MO 64701"
"29_P00054, 29_R00053",JCH Industries,Hemp,,,,lshanks15105@gmail.com,(816) 876-6794,,"15105 Jowler Creek RdCamden Point, MO 64018"
"29_R00108, 29_P00109",Industrial Hemp Research Center,Hemp,,,,trey@ihemp.farm,5733805466,,"18 Green Meadows DrSikeston, MO 63801"
"29_P00069, 29_R00070",Horizon Innovations LLC,Hemp,,,,trey@conceptag.com,(573)8379388,,"1300 Plant RdCharleston, MO 63834"
"29_P00120, 29_R00121, 29_R00119, 29_P00118",Hocomohemp LLC,Hemp,,,,christopher@hocomohemp.com,(310) 991-8406,,"221 Bolivar StJefferson City, MO 65101"
"29_P00221, 29_R00220",H&M Seed,Hemp,,,,bartosz@easykotlet.com || hunter.marriott62@gmail.com,+45 53332051 || (660) 973-4418,,"Hive Minds SolutionsZagreb || 29548 Jucco DrBrookfield, MO 64628"
"29_R00037, 29_P00038",HHF LLC,Hemp,,,,dfriedrich22@gmail.com,(816) 922-9052,,"2002 Main StKCMO, MO 64108"
"29_P00105, 29_R00104",Hemppies,Hemp,,,,lance@fraclite.com,4174212176,,"Winona, MO 65588"
"29_R00267, 29_P00197, 29_R00196",HEMP KC,Hemp,,,,themp64@att.net || joshandrew311@yahoo.com,318-348-2598 || (816) 590-5345,,"HEMPHILL FARMS LLCUS-165 || 1003 NW South Shore DrLake Waukomis, MO 64151"
"29_P00039, 29_R00040",Hemp for Health,Hemp,,,,redman457@hotmail.com,(816) 682-7882,,"18809 N Eastern RdSmithville, MO 64089"
"29_R00122, 29_P00123",Healthy Hemp,Hemp,,,,callicoatjg@gmail.com,(417) 499-8038,,"2833 E 18th StJoplin, MO 64804"
"29_R00210, 29_P00209","Head's Triple H, LLC",Hemp,,,,mama.head@yahoo.com,(816) 719-7601,,"31844 Cedar DrBrowning, MO 64630"
"29_P00044, 29_R00045",Grower Genetics,Hemp,,,,nathanf@grohendge.com || lancegrandstaff@gmail.com,(414) 704-6333 || (573) 953-0297,,"Grohendge Seed and SupplyWI || Birch Tree, MO 65438"
"29_R00341, 29_P00342","Gro-rite, LLC",Hemp,,,,lucaswcarmical@gmail.com,(660) 734-0651,,"712 Missouri AveBrookfield, MO 64628"
"29_P00008, 29_R00009",Green Nation Farms,Hemp,,,,greennationfarms@gmail.com,(573) 660-1642,,"Doniphan, MO 63935"
"29_R00224, 29_P00225",G-Logic LLC,Hemp,,,,jordan.gorombey@gmail.com,(816) 830-9896,,"5231 NE Antioch Rd, 333KCMO, MO 64119"
"29_P00132, 29_R00131, 29_R00083, 29_P00084",Franklin OZ B1 (Hemp Hill),Hemp,,,,jsteffensfarm@gmail.com,(660) 232-1755,,"912 Franklin AveLexington, MO 64067"
"29_R00285, 29_P00107, 29_R00106, 29_R00157",Fahr Greenhouses Inc,Hemp,,,,pat@fahrgreenhouse.com,(636) 458-3991,,"18944 St Albans RdWildwood, MO 63038"
"29_R00023, 29_P00022",Elemental Farms,Hemp,,,,matt@elementalfarms.us,(816) 769-7619,,"3995 NE State Rte UuButler, MO 64730"
"29_P00153, 29_R00152",Earth Bound Farms,Hemp,,,,ewgfarm1917@gmail.com,(573) 353-9481,,"7441 Liv 506Chillicothe, MO 64601"
"29_R00092, 29_P00091",Double R & D Farms,Hemp,,,,doublerandd@gmail.com,(660) 734-0654,,"26854 Impala RdBrookfield, MO 64628"
"29_R00033, 29_P00032",Derek Davis LLC,Hemp,,,,dedavis96@gmail.com,6606311007,,"22183 Poplar AveNelson, MO 65347"
"29_R00257, 29_P00258",Crazy Cats,Hemp,,,,virgilsbar@hotmail.com,(417) 833-4081,,"7579 N Farm Rd 137Springfield, MO 65803"
"29_P00160, 29_R00159",Clone Connection LLC,Hemp,,,,bwdudney@gmail.com,(314) 409-5810,,"1750 S Brentwood BlvdBrentwood, MO 63144"
"29_P00073, 29_R00074",Circle H Seed Company,Hemp,,,,shamra@circlehseed.com,(573) 380-2389,,"1 Amanzi LaneSikeston, MO 63801"
"29_P00005, 29_R00006",B & W Hoop Farms LLC,Hemp,,,,sales@bulkanna.com || wilbyfam@grm.net,(702) 857-4116 || (660) 938-4377,,"BulKannaWI || 24466 State Rte YJonesburg, MO 63351"
"29_P00002, 29_R00001",Buehler Farms LLC,Hemp,,,,,,,
"29_P00127, 29_R00126",BeLeaf Life's Oils,Hemp,,,,hyatt@beleafco.com,3142090859,,"13378 Lakefront DrEarth City, MO 63045"
"29_R00114, 29_P00111, 29_P00112, 29_R00113",Bee Valley Farms,Hemp,,,,bearmountainhemp@gmail.com || joe@beevalleyfarms.com,(608) 225-8007 || (636) 940-1530,,"Bear Mountain Hemp Co, LLCWI || 5157 Co Rd 856Bunker, MO 63629"
"29_P00035, 29_R00050",MO Hemp Seed Provider 0006,Hemp,,,,,,,
29_P00284,MO Hemp Seed Provider 0005,Hemp,,,,,,,
29_P00270,MO Hemp Seed Provider 0004,Hemp,,,,,,,
29_P00223,MO Hemp Seed Provider 0003,Hemp,,,,,,,
29_P00077,MO Hemp Seed Provider 0002,Hemp,,,,,,,
29_P00060,MO Hemp Seed Provider 0001,Hemp,,,,,,,
29_P00052,Mid-America Alternative AG,Hemp,,,,,,,
29_P00176,KB Hemp Co,Hemp,,,,kolby@uscannaconnection.com,(636) 578-9670,,"1809 Thoele RdSt Peters, MO 63376"
29_P00247,GlenMark Farms LLC,Hemp,,,,GlenMarkFarms@gmail.com,6362553276,,"3516 Shire LnSt Charles, MO 63301"
CannAgro LLC,Hemp,Hemp,,,,,,,
Beyond Organic Processing,Hemp,Pending,,,,,,,
City Roots,"City Roots, LLC",Pending,,,,eric@cityrootsfarm.com,803-543-7007,,SC
"Seed Banks / Genetics, Hemp Distributor",5132940,Hemp,,,,,,,
"Seed Banks / Genetics, Packaging and Labels, Manufacturing Goods, Hemp Retailer (Storefront), Hemp Retailer (Online), Hemp Retailer (Delivery), Hemp Manufacturer, Hemp Distributor, Hemp Cultivator, Hemp Brand, Glassware, Facility Supplies & Machinery, Cultivation Goods, Cannabis Retailer (Storefront), Cannabis Brand, Cannabis Cultivator, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Retailer (Online)",CNY Signature Services,Hemp,,,,,,,
"Seed Banks / Genetics, Hemp Retailer (Online), Hemp Retailer (Delivery), Cultivation Goods, Hemp Brand, Advertising / Publication, Cannabis Retailer (Online), Cannabis Brand, Hemp Distributor, Cannabis Cultivator","AHC Rifle, LLC",Hemp,,,,ashmaebar@gmail.com,970-618-3209,,AgTech ScientificKY || CO
"78464, 102840","THE GOAT HIPPIE, LLC",Hemp,,,,,,,
"22_1100104, 22_1100103, 22_1100102",RESOURCE ONE NURSERY,Hemp,,,,,,,
"22_1100054, 22_1100053, 22_1100052",MICHAEL C JACKSON FOUNDATION,Hemp,,,,,,,
"22_1100089, 22_1100087, 22_1100088, 22_1100086",DUPONT NURSERY INC,Hemp,,,,cajuncolor@aol.com,225-937-6219,,LA
"22_1100131, 22_1100001, 22_1100002",BONTEMP GROWERS,Hemp,,,,chris@btgrowers.com,318-505-8766,,"9999 Mansfield RdKeithville, LA 71047"
"22_1100022, 22_1100021, 22_1100023, 22_1100024",MARLEY MEDS,Hemp,,,,,,,
LOUISIANA HEMP COMPANY LLC,Hemp,Hemp,,,,,,,
"22_1100060, 22_1100058","JV AGRIINDUSTRIES, LLC",Hemp,,,,bobby.phills@outlook.com,225-460-1066,,LA
"22_1100094, 22_1100095",Circa,Hemp,,,,,,,
"Seed Banks / Genetics, Hemp Manufacturer, Hemp Brand, Manufacturing Goods",PARADISE CITY FARMZ,Hemp,,,,,,,
"AG-R1040932IHH, AG-R1072297HGS, AG-R1040933AHS",KONA HEMP COMPANY LLC,Hemp,,,,konahempcompany@gmail.com,,,"5000 Baseline DrMt Hood, OR 97041"
"AG-R1073763HGS, AG-R1073761IHH, AG-R1073764AHS",JUPITER AGRICULTURAL SUPPLY INC,Hemp,,,,sean@sccearthworks.com,503-330-3651,,"39725 NW Maller LnBanks, OR 97106"
"AG-R1072910AHS, AG-R1072909HGS, AG-R1072280IHH",GLOBAL AGRISCIENCE LLC,Hemp,,,,dale@405asset.com,,,"1171 S Robertson Blvd, 417Los Angeles, CA 90035"
"AG-R1053767IHH, AG-R1074158HGS, AG-R1052115AHS",WHOLESALE HEMP AND SEED LLC,Hemp,,,,,,,
"AG-R1065164IHH, AG-R1065168AHS","TENACITY HEMP GROWERS, INC",Hemp,,,,,,,
"22_1100172, 22_1100173","SOUTH CAROLINA SEED AND CLONE, INC.",Hemp,,,,,,,
"51330, 45HH_2125",PREEMINENT OILS LLC,Hemp,,,,,,,
"AG-R1065572IHH, AG-R1065876AHS",OREGON VITALITY LLC,Hemp,,,,,,,
"AG-R1063734AHS, AG-R1063729IHH",OREGON ELITE INDUSTRIES INC,Hemp,,,,,,,
"AG-R1063910IHH, AG-R1063911AHS",KMS AG CONSULTING LLC,Hemp,,,,kylems84@gmail.com,541-730-3876,,"3985 Los Altos LnEugene, OR 97405"
"AG-R1059535AHS, AG-R1059517IHH",HOLLAND LABS LLC,Hemp,,,,levi_miller25@hotmail.com,425-362-4163,,"5571 NE Stephens StRoseburg North, OR 97495"
"AG-R1067088AHS, AG-R1062596IHH",FORAGE LLC,Ancillary,,,,foragesupply@gmail.com,,,"2205 NE Evans StMcMinnville, OR 97128"
"AG-R1062118IHH, AG-R1062142AHS",FLEUR DE LEAF COLLECTIVE,Hemp,,,,info@fleurdeleafnola.com,504-554-1885,,"Fish Springs Ranch, LLCNV || LA"
"22_1100149, 22_1100191",VIRGIN HEMP FARMS LLC,Hemp,,,,,,,
"Seed Banks / Genetics, Hemp Cultivator, Hemp Distributor","22_1100012, 22_1100011, 20354",Hemp,,,,,,,
"Seed Banks / Genetics, Hemp Cultivator, Hemp Manufacturer",THE WRIGHTWAY FARMS LLC,Hemp,,,,,,,
"AG-R1074123AHS, AG-R1074122HGS",REDWOOD HEMP LLC,Hemp,,,,,,,
"AG-R1075896HGS, AG-R1075897AHS",RANCHO LA FAMILIA LLC,Hemp,,,,,,,
"AG-R1074691HGS, AG-R1074692AHS",Pure Country,Hemp,,,,,,,
1358,PLATINUM RIVER LLC,Hemp,,,,,,,
"AG-R1054190AHS, AG-R1073992HGS",North Road Hemp,Hemp,,,,,,,
Manufacturing Goods,Facility Supplies & Machinery,Hemp,,,,,,,
Seed Banks / Genetics,Selected: 0,Hemp,,,,,,,
ME Hemp Seedling Grower 0001,Hemp,Hemp,,,,,,,
Little Ridge Farm,Hemp,Hemp,,,,,,,
"Seed Banks / Genetics, Hemp Cultivator",HARDWOOD FARMS LLC,Hemp,,,,,,,"17449 OR-211Molalla, OR 97038"
"Seed Banks / Genetics, Hemp Cultivator","AG-R1073733AHS, AG-R1073732HGS",Ancillary,,,,,,,
Appalachian Herb & Spice,Hemp,Ancillary,,,,,,,
ZED THERAPEUTICS US INC,Ancillary,Ancillary,,,,,,,
WI Hemp Seed Dealer 0004,Ancillary,Ancillary,,,,,,,
WI Hemp Seed Dealer 0003,Ancillary,Ancillary,,,,,,,
WI Hemp Seed Dealer 0002,Ancillary,Ancillary,,,,,,,
Voluntary Exchange LLC,Ancillary,Ancillary,,,,,,,
Valhalla Pharms,Ancillary,Ancillary,,,,,,,
United American Hemp LLC,Ancillary,Ancillary,,,,,,,
Twin City Seed Company,Ancillary,Ancillary,,,,,,,
Seed Banks / Genetics,"TREEHOUSE ON 3RD STREET, LLC",Ancillary,,,,,,,
Seed Banks / Genetics,22_1100225,Ancillary,,,,,,,
T&J Nutritionals,Ancillary,Ancillary,,,,,,,
Seed Banks / Genetics,AG-R1058646AHS,Ancillary,,,,,,,
AG-R1053351AHS,Sovereign Solutions,Ancillary,,,,,,,
SOUTHERN SEED LLC,Ancillary,Ancillary,,,,,,,
Southern Grain Farms,"Southern Grain Farms, LLC",Ancillary,,,,,,,
Seed Banks / Genetics,5133521,Ancillary,,,,,,,
Seed Banks / Genetics,22_1100014,Ancillary,,,,,,,
"Seed Money, LLC",Ancillary,Ancillary,,,,,,,
Robin Sanchez,Ancillary,Ancillary,,,,,,,
Regeneration Hemp Farms,Ancillary,Ancillary,,,,,,,
Seed Banks / Genetics,P.L. Rohrer and Bro. Inc.,Ancillary,,,,,,,
Pappie Hill Hemp,"Pappie Hill Hemp, LLC",Ancillary,,,,,,,
Seed Banks / Genetics,5135928,Ancillary,,,,,,,
NV Hemp Seed Provider 0001,Ancillary,Ancillary,,,,,,,
"Northwoods Hemp, LLC",Ancillary,Ancillary,,,,,,,
Seed Banks / Genetics,LAND OF THE HEMP LLC,Ancillary,,,,jaimerrs@hotmail.com,707-337-9866,,"16800 Jones Rd, UNIT GWhite City, OR 97503"
"AG-R1067130AHS, AG-R1058743AHS",LA Hemp Seed Provider 0004,Ancillary,,,,roger.white.iv@gmail.com,985-291-1447,,"4045 LA-311Houma, LA 70360"
22_1100082,LA Hemp Seed Provider 0003,Ancillary,,,,mbatm2009@gmail.com,858-722-4857,,"104 Fyvie LnLafayette, LA 70503"
